iter	Passed	Remaining
572	6974	5197
573	6983	5182
574	6999	5173
575	7010	5160
576	7021	5147
577	7032	5134
578	7043	5121
579	7055	5108
580	7066	5096
581	7079	5084
582	7089	5071
583	7100	5057
584	7111	5045
585	7125	5034
586	7137	5021
587	7149	5009
588	7158	4994
589	7171	4983
590	7182	4970
591	7194	4958
592	7206	4945
593	7217	4933
594	7230	4921
595	7244	4910
596	7254	4897
597	7266	4884
598	7275	4870
599	7286	4857
600	7299	4846
601	7311	4834
602	7322	4821
603	7334	4808
604	7344	4795
605	7356	4782
606	7367	4770
607	7377	4756
608	7390	4745
609	7402	4732
610	7412	4719
611	7424	4706
612	7437	4695
613	7449	4683
614	7462	4671
615	7474	4659
616	7483	4645
617	7495	4633
618	7507	4620
619	7519	4608
620	7531	4596
621	7542	4583
622	7554	4571
623	7568	4560
624	7583	4549
625	7595	4538
626	7607	4525
627	7621	4514
628	7633	4502
629	7644	4489
630	7654	4475
631	7665	4463
632	7678	4451
633	7690	4439
634	7700	4426
635	7710	4412
636	7717	4398
637	7729	4385
638	7739	4372
639	7752	4360
640	7762	4347
641	7773	4334
642	7785	4322
643	7796	4309
644	7807	4297
645	7818	4284
646	7829	4271
647	7843	4260
648	7854	4247
649	7865	4235
650	7878	4223
651	7891	4212
652	7905	4200
653	7925	4192
654	7935	4179
655	7944	4166
656	7957	4154
657	7967	4140
658	7980	4129
659	7998	4120
660	8011	4108
661	8021	4095
662	8034	4083
663	8046	4071
664	8058	4059
665	8071	4047
666	8083	4035
667	8095	4023
668	8107	4011
669	8120	3999
670	8132	3987
671	8145	3975
672	8158	3964
673	8170	3952
674	8182	3939
675	8195	3928
676	8207	3915
677	8219	3903
678	8229	3890
679	8240	3877
680	8253	3866
681	8264	3853
682	8277	3841
683	8289	3829
684	8299	3816
685	8312	3804
686	8325	3792
687	8335	3780
688	8349	3768
689	8362	3757
690	8373	3744
691	8384	3731
692	8397	3719
693	8408	3707
694	8418	3694
695	8432	3683
696	8443	3670
697	8454	3657
698	8466	3645
699	8477	3633
700	8488	3620
701	8503	3609
702	8516	3597
703	8526	3585
704	8539	3573
705	8550	3560
706	8560	3547
707	8571	3535
708	8584	3523
709	8594	3510
710	8607	3498
711	8617	3485
712	8631	3474
713	8643	3462
714	8655	3449
715	8663	3436
716	8676	3424
717	8688	3412
718	8698	3399
719	8709	3387
720	8720	3374
721	8731	3362
722	8742	3349
723	8755	3337
724	8767	3325
725	8778	3313
726	8792	3301
727	8804	3289
728	8816	3277
729	8828	3265
730	8841	3253
731	8854	3241
732	8863	3228
733	8875	3216
734	8888	3204
735	8899	3192
736	8912	3180
737	8944	3175
738	8958	3163
739	8970	3151
740	8982	3139
741	9009	3132
742	9021	3120
743	9034	3108
744	9048	3097
745	9060	3084
746	9074	3073
747	9085	3060
748	9094	3047
749	9105	3035
750	9115	3022
751	9126	3009
752	9139	2997
753	9152	2986
754	9163	2973
755	9176	2961
756	9187	2949
757	9197	2936
758	9208	2923
759	9218	2911
760	9230	2899
761	9243	2887
762	9255	2874
763	9265	2862
764	9276	2849
765	9288	2837
766	9300	2825
767	9311	2812
768	9324	2800
769	9334	2788
770	9346	2776
771	9357	2763
772	9368	2751
773	9379	2738
774	9393	2727
775	9404	2714
776	9418	2703
777	9430	2691
778	9442	2678
779	9455	2667
780	9467	2654
781	9479	2642
782	9490	2630
783	9501	2617
784	9512	2605
785	9523	2592
786	9534	2580
787	9544	2567
788	9558	2556
789	9574	2545
790	9585	2532
791	9599	2521
792	9611	2508
793	9622	2496
794	9632	2483
795	9644	2471
796	9664	2461
797	9677	2449
798	9690	2437
799	9702	2425
800	9714	2413
801	9725	2401
802	9738	2389
803	9750	2376
804	9763	2365
805	9776	2353
806	9788	2341
807	9802	2329
808	9813	2316
809	9825	2304
810	9837	2292
811	9851	2280
812	9861	2268
813	9872	2255
814	9884	2243
815	9895	2231
816	9907	2219
817	9918	2206
818	9932	2195
819	9943	2182
820	9955	2170
821	9966	2158
822	9978	2146
823	9990	2133
824	10009	2123
825	10020	2110
826	10031	2098
827	10043	2086
828	10053	2073
829	10066	2061
830	10078	2049
831	10089	2037
832	10102	2025
833	10111	2012
834	10122	2000
835	10132	1987
836	10143	1975
837	10155	1963
838	10168	1951
839	10177	1938
840	10189	1926
841	10201	1914
842	10210	1901
843	10221	1889
844	10233	1877
845	10243	1864
846	10257	1852
847	10270	1840
848	10279	1828
849	10292	1816
850	10302	1803
851	10314	1791
852	10324	1779
853	10334	1766
854	10346	1754
855	10357	1742
856	10366	1729
857	10379	1717
858	10389	1705
859	10399	1692
860	10410	1680
861	10423	1668
862	10433	1656
863	10443	1643
864	10456	1631
865	10469	1619
866	10480	1607
867	10492	1595
868	10504	1583
869	10515	1571
870	10528	1559
871	10541	1547
872	10552	1535
873	10565	1523
874	10577	1511
875	10589	1499
876	10600	1486
877	10612	1474
878	10624	1462
879	10635	1450
880	10646	1438
881	10660	1426
882	10671	1414
883	10682	1401
884	10693	1389
885	10706	1377
886	10717	1365
887	10729	1353
888	10740	1341
889	10750	1328
890	10761	1316
891	10773	1304
892	10784	1292
893	10796	1280
894	10808	1268
895	10820	1255
896	10829	1243
897	10841	1231
898	10852	1219
899	10863	1207
900	10875	1194
901	10885	1182
902	10895	1170
903	10906	1158
904	10919	1146
905	10929	1134
906	10942	1121
907	10955	1110
908	10970	1098
909	10982	1086
910	10993	1074
911	11010	1062
912	11022	1050
913	11033	1038
914	11044	1026
915	11054	1013
916	11066	1001
917	11077	989
918	11089	977
919	11101	965
920	11113	953
921	11124	941
922	11136	929
923	11147	916
924	11158	904
925	11170	892
926	11183	880
927	11192	868
928	11203	856
929	11213	844
930	11224	831
931	11234	819
932	11246	807
933	11260	795
934	11271	783
935	11283	771
936	11293	759
937	11305	747
938	11316	735
939	11327	723
940	11338	710
941	11349	698
942	11360	686
943	11372	674
944	11382	662
945	11396	650
946	11408	638
947	11420	626
948	11432	614
949	11442	602
950	11454	590
951	11465	578
952	11478	566
953	11492	554
954	11504	542
955	11516	530
956	11529	518
957	11540	505
958	11551	493
959	11563	481
960	11577	469
961	11599	458
962	11611	446
963	11624	434
964	11634	421
965	11646	409
966	11659	397
967	11672	385
968	11685	373
969	11696	361
970	11708	349
971	11721	337
972	11734	325
973	11748	313
974	11760	301
975	11772	289
976	11783	277
977	11789	265
978	11799	253
979	11811	241
980	11822	228
981	11832	216
982	11843	204
983	11854	192
984	11865	180
985	11877	168
986	11888	156
987	11900	144
988	11911	132
989	11923	120
990	11937	108
991	11950	96
992	11961	84
993	11974	72
994	11986	60
995	11998	48
996	12225	36
997	12237	24
998	12251	12
999	12264	0
